Gene	Module
9606.ENSP00000307634	0
9606.ENSP00000363822	0
9606.ENSP00000498246	0
9606.ENSP00000449270	0
9606.ENSP00000307786	0
9606.ENSP00000310003	0
9606.ENSP00000361930	0
9606.ENSP00000287934	0
9606.ENSP00000296140	0
9606.ENSP00000383199	0
9606.ENSP00000473172	0
9606.ENSP00000242728	0
9606.ENSP00000223023	0
9606.ENSP00000316338	0
9606.ENSP00000306884	0
9606.ENSP00000008527	0
9606.ENSP00000008391	0
9606.ENSP00000296257	0
9606.ENSP00000266987	0
9606.ENSP00000355192	0
9606.ENSP00000376097	0
9606.ENSP00000262738	0
9606.ENSP00000348416	0
9606.ENSP00000364802	0
9606.ENSP00000262178	0
9606.ENSP00000309052	0
9606.ENSP00000482620	0
9606.ENSP00000318297	0
9606.ENSP00000238738	0
9606.ENSP00000381876	0
9606.ENSP00000262879	0
9606.ENSP00000269305	0
9606.ENSP00000262305	0
9606.ENSP00000345064	0
9606.ENSP00000284981	0
9606.ENSP00000408342	0
9606.ENSP00000262719	0
9606.ENSP00000426653	0
9606.ENSP00000341779	0
9606.ENSP00000362680	0
9606.ENSP00000349446	0
9606.ENSP00000362547	0
9606.ENSP00000356607	0
9606.ENSP00000230449	0
9606.ENSP00000310928	0
9606.ENSP00000260762	0
9606.ENSP00000309968	0
9606.ENSP00000359000	0
9606.ENSP00000349437	0
9606.ENSP00000327025	0
9606.ENSP00000298292	0
9606.ENSP00000310226	0
9606.ENSP00000495360	0
9606.ENSP00000390423	0
9606.ENSP00000262457	0
9606.ENSP00000370695	0
9606.ENSP00000323867	0
9606.ENSP00000302961	0
9606.ENSP00000306253	0
9606.ENSP00000356737	0
9606.ENSP00000450607	0
9606.ENSP00000498587	0
9606.ENSP00000004531	0
9606.ENSP00000479168	0
9606.ENSP00000314615	0
9606.ENSP00000000233	0
9606.ENSP00000292174	0
9606.ENSP00000335153	0
9606.ENSP00000262138	0
9606.ENSP00000006658	0
9606.ENSP00000371180	0
9606.ENSP00000266503	0
9606.ENSP00000311035	0
9606.ENSP00000398632	0
9606.ENSP00000362795	0
9606.ENSP00000378563	0
9606.ENSP00000365441	0
9606.ENSP00000407586	0
9606.ENSP00000385523	0
9606.ENSP00000432459	0
9606.ENSP00000300589	0
9606.ENSP00000376432	0
9606.ENSP00000380044	0
9606.ENSP00000359424	0
9606.ENSP00000346671	0
9606.ENSP00000379287	0
9606.ENSP00000367832	0
9606.ENSP00000359596	0
9606.ENSP00000280350	0
9606.ENSP00000234389	0
9606.ENSP00000378365	0
9606.ENSP00000474725	0
9606.ENSP00000226317	0
9606.ENSP00000358696	0
9606.ENSP00000402346	0
9606.ENSP00000317128	0
9606.ENSP00000366488	0
9606.ENSP00000313811	0
9606.ENSP00000264938	0
9606.ENSP00000374507	0
9606.ENSP00000373489	0
9606.ENSP00000297185	0
9606.ENSP00000379350	0
9606.ENSP00000332504	0
9606.ENSP00000365042	0
9606.ENSP00000389095	0
9606.ENSP00000078429	0
9606.ENSP00000441930	0
9606.ENSP00000306010	0
9606.ENSP00000298316	0
9606.ENSP00000265371	0
9606.ENSP00000287878	0
9606.ENSP00000499717	0
9606.ENSP00000280377	0
9606.ENSP00000409581	0
9606.ENSP00000379682	0
9606.ENSP00000381531	0
9606.ENSP00000361662	0
9606.ENSP00000363435	0
9606.ENSP00000252729	0
9606.ENSP00000408005	0
9606.ENSP00000426983	0
9606.ENSP00000262319	0
9606.ENSP00000263245	0
