Gene	Score
9606.ENSP00000000233	0.0
9606.ENSP00000158762	0.0
9606.ENSP00000357048	0.0
9606.ENSP00000262305	0.0
9606.ENSP00000329419	0.0
9606.ENSP00000469035	0.0
9606.ENSP00000256682	0.0
9606.ENSP00000314615	0.0
9606.ENSP00000331342	0.0
9606.ENSP00000389095	0.0
9606.ENSP00000480301	0.0
9606.ENSP00000261890	0.0
9606.ENSP00000434442	0.0
9606.ENSP00000249923	0.0
9606.ENSP00000306010	0.0
9606.ENSP00000429900	0.0
9606.ENSP00000482620	0.0
9606.ENSP00000356737	0.0
9606.ENSP00000324287	0.0
9606.ENSP00000263245	0.0
9606.ENSP00000296557	0.0
9606.ENSP00000440005	0.0
9606.ENSP00000418915	0.0
9606.ENSP00000359000	0.0
9606.ENSP00000484121	0.0
9606.ENSP00000307634	0.0
9606.ENSP00000281419	0.0
9606.ENSP00000449270	0.0
9606.ENSP00000000412	0.0
9606.ENSP00000438085	0.0
9606.ENSP00000376792	0.0
9606.ENSP00000386443	0.0
9606.ENSP00000311962	0.0
9606.ENSP00000371175	0.0
9606.ENSP00000349437	0.0
9606.ENSP00000221957	0.0
9606.ENSP00000001008	0.0
9606.ENSP00000351646	0.0
9606.ENSP00000350815	0.0
9606.ENSP00000444810	0.0
9606.ENSP00000401645	0.0
9606.ENSP00000437125	0.0
9606.ENSP00000359385	0.0
9606.ENSP00000431512	0.0
9606.ENSP00000378199	0.0
9606.ENSP00000354558	0.0
9606.ENSP00000451828	0.0
9606.ENSP00000482075	0.0
9606.ENSP00000254322	0.0
9606.ENSP00000303754	0.0
9606.ENSP00000360609	0.0
9606.ENSP00000302961	0.0
9606.ENSP00000371278	0.0
9606.ENSP00000222005	0.0
9606.ENSP00000231509	0.0
9606.ENSP00000335153	0.0
9606.ENSP00000263038	0.0
9606.ENSP00000325120	0.0
9606.ENSP00000292169	0.0
9606.ENSP00000216479	0.0
9606.ENSP00000408910	0.0
9606.ENSP00000262719	0.0
9606.ENSP00000234701	0.0
9606.ENSP00000485525	0.0
9606.ENSP00000364802	0.0
9606.ENSP00000405330	0.0
9606.ENSP00000363822	0.0
9606.ENSP00000364801	0.0
9606.ENSP00000359424	0.0
9606.ENSP00000001146	0.0
9606.ENSP00000260682	0.0
9606.ENSP00000360958	0.0
9606.ENSP00000337450	0.0
9606.ENSP00000222982	0.0
9606.ENSP00000299529	0.0
9606.ENSP00000360317	0.0
9606.ENSP00000308032	0.0
9606.ENSP00000240285	0.0
9606.ENSP00000297785	0.0
9606.ENSP00000224356	0.0
9606.ENSP00000498424	0.0
9606.ENSP00000480571	0.0
9606.ENSP00000342007	0.0
9606.ENSP00000498939	0.0
9606.ENSP00000378488	0.0
9606.ENSP00000363832	0.0
9606.ENSP00000285979	0.0
9606.ENSP00000301141	0.0
9606.ENSP00000304811	0.0
9606.ENSP00000324648	0.0
9606.ENSP00000311095	0.0
9606.ENSP00000475028	0.0
9606.ENSP00000275764	0.0
9606.ENSP00000332256	0.0
9606.ENSP00000249750	0.0
9606.ENSP00000341021	0.0
9606.ENSP00000303174	0.0
9606.ENSP00000002125	0.0
9606.ENSP00000323076	0.0
9606.ENSP00000379430	0.0
9606.ENSP00000301457	0.0
9606.ENSP00000263774	0.0
9606.ENSP00000356972	0.0
9606.ENSP00000418803	0.0
9606.ENSP00000252711	0.0
9606.ENSP00000315774	0.0
9606.ENSP00000358272	0.0
9606.ENSP00000233627	0.0
9606.ENSP00000260361	0.0
9606.ENSP00000351737	0.0
9606.ENSP00000367346	0.0
9606.ENSP00000281081	0.0
9606.ENSP00000296597	0.0
9606.ENSP00000259037	0.0
9606.ENSP00000423673	0.0
9606.ENSP00000349142	0.0
9606.ENSP00000312618	0.0
9606.ENSP00000270517	0.0
9606.ENSP00000331640	0.0
9606.ENSP00000417142	0.0
9606.ENSP00000002165	0.0
9606.ENSP00000363603	0.0
9606.ENSP00000306920	0.0
9606.ENSP00000002596	0.0
9606.ENSP00000359581	0.0
9606.ENSP00000333310	0.0
9606.ENSP00000356433	0.0
9606.ENSP00000261858	0.0
9606.ENSP00000308770	0.0
9606.ENSP00000272452	0.0
9606.ENSP00000259241	0.0
9606.ENSP00000002829	0.0
9606.ENSP00000352882	0.0
9606.ENSP00000377061	0.0
9606.ENSP00000368314	0.0
9606.ENSP00000265371	0.0
9606.ENSP00000317128	0.0
9606.ENSP00000353582	0.0
9606.ENSP00000358696	0.0
9606.ENSP00000003084	0.0
9606.ENSP00000366488	0.0
9606.ENSP00000364235	0.0
9606.ENSP00000247461	0.0
9606.ENSP00000308720	0.0
9606.ENSP00000357484	0.0
9606.ENSP00000359596	0.0
9606.ENSP00000345751	0.0
9606.ENSP00000347742	0.0
9606.ENSP00000356102	0.0
9606.ENSP00000494017	0.0
9606.ENSP00000248553	0.0
9606.ENSP00000361930	0.0
9606.ENSP00000397133	0.0
9606.ENSP00000259512	0.0
9606.ENSP00000348416	0.0
9606.ENSP00000309591	0.0
9606.ENSP00000320508	0.0
9606.ENSP00000347778	0.0
9606.ENSP00000365116	0.0
9606.ENSP00000488437	0.0
9606.ENSP00000345873	0.0
9606.ENSP00000449404	0.0
9606.ENSP00000262461	0.0
9606.ENSP00000323867	0.0
9606.ENSP00000300061	0.0
9606.ENSP00000359594	0.0
9606.ENSP00000313391	0.0
9606.ENSP00000261170	0.0
9606.ENSP00000254101	0.0
9606.ENSP00000304783	0.0
9606.ENSP00000498246	0.0
9606.ENSP00000361662	0.0
9606.ENSP00000408005	0.0
9606.ENSP00000392330	0.0
9606.ENSP00000441369	0.0
9606.ENSP00000376432	0.0
9606.ENSP00000349493	0.0
9606.ENSP00000358866	0.0
9606.ENSP00000287878	0.0
9606.ENSP00000306330	0.0
9606.ENSP00000347454	0.0
9606.ENSP00000353292	0.0
9606.ENSP00000346148	0.0
9606.ENSP00000359719	0.0
9606.ENSP00000351777	0.0
9606.ENSP00000360290	0.0
9606.ENSP00000296695	0.0
9606.ENSP00000290649	0.0
9606.ENSP00000238738	0.0
9606.ENSP00000378920	0.0
9606.ENSP00000342143	0.0
9606.ENSP00000383199	0.0
9606.ENSP00000457411	0.0
9606.ENSP00000234160	0.0
9606.ENSP00000369127	0.0
9606.ENSP00000338934	0.0
9606.ENSP00000373489	0.0
9606.ENSP00000379287	0.0
9606.ENSP00000331915	0.0
9606.ENSP00000494750	0.0
9606.ENSP00000365804	0.0
9606.ENSP00000262613	0.0
9606.ENSP00000264938	0.0
9606.ENSP00000219548	0.0
9606.ENSP00000003100	0.0
9606.ENSP00000359297	0.0
9606.ENSP00000344741	0.0
9606.ENSP00000417052	0.0
9606.ENSP00000360316	0.0
9606.ENSP00000354468	0.0
9606.ENSP00000277010	0.0
9606.ENSP00000228510	0.0
9606.ENSP00000358421	0.0
9606.ENSP00000322706	0.0
9606.ENSP00000419970	0.0
9606.ENSP00000349078	0.0
9606.ENSP00000256319	0.0
9606.ENSP00000242480	0.0
9606.ENSP00000297679	0.0
9606.ENSP00000264027	0.0
9606.ENSP00000491537	0.0
9606.ENSP00000254521	0.0
9606.ENSP00000445122	0.0
9606.ENSP00000348069	0.0
9606.ENSP00000217971	0.0
9606.ENSP00000301012	0.0
9606.ENSP00000354476	0.0
9606.ENSP00000332407	0.0
9606.ENSP00000347717	0.0
9606.ENSP00000339883	0.0
9606.ENSP00000380837	0.0
9606.ENSP00000358414	0.0
9606.ENSP00000341625	0.0
9606.ENSP00000360918	0.0
9606.ENSP00000277517	0.0
9606.ENSP00000320604	0.0
9606.ENSP00000370748	0.0
9606.ENSP00000260970	0.0
9606.ENSP00000265896	0.0
9606.ENSP00000356015	0.0
9606.ENSP00000287936	0.0
9606.ENSP00000308430	0.0
9606.ENSP00000279263	0.0
9606.ENSP00000261507	0.0
9606.ENSP00000003302	0.0
9606.ENSP00000444357	0.0
9606.ENSP00000280377	0.0
9606.ENSP00000272317	0.0
9606.ENSP00000383042	0.0
9606.ENSP00000313811	0.0
9606.ENSP00000371475	0.0
9606.ENSP00000229268	0.0
9606.ENSP00000441543	0.0
9606.ENSP00000260187	0.0
9606.ENSP00000263966	0.0
9606.ENSP00000265560	0.0
9606.ENSP00000388107	0.0
9606.ENSP00000478771	0.0
9606.ENSP00000261601	0.0
9606.ENSP00000478887	0.0
9606.ENSP00000372023	0.0
9606.ENSP00000312995	0.0
9606.ENSP00000379721	0.0
9606.ENSP00000474725	0.0
9606.ENSP00000269305	0.0
9606.ENSP00000004531	0.0
9606.ENSP00000261783	0.0
9606.ENSP00000349446	0.0
9606.ENSP00000004982	0.0
9606.ENSP00000281938	0.0
9606.ENSP00000251968	0.0
9606.ENSP00000315182	0.0
9606.ENSP00000340989	0.0
9606.ENSP00000358081	0.0
9606.ENSP00000340019	0.0
9606.ENSP00000005178	0.0
9606.ENSP00000301455	0.0
9606.ENSP00000280346	0.0
9606.ENSP00000420927	0.0
9606.ENSP00000264867	0.0
9606.ENSP00000379011	0.0
9606.ENSP00000378487	0.0
9606.ENSP00000310928	0.0
9606.ENSP00000323740	0.0
9606.ENSP00000306253	0.0
9606.ENSP00000369134	0.0
9606.ENSP00000297185	0.0
9606.ENSP00000307786	0.0
9606.ENSP00000227868	0.0
9606.ENSP00000380432	0.0
9606.ENSP00000309548	0.0
9606.ENSP00000498864	0.0
9606.ENSP00000320935	0.0
9606.ENSP00000363435	0.0
9606.ENSP00000385523	0.0
9606.ENSP00000005226	0.0
9606.ENSP00000495481	0.0
9606.ENSP00000382323	0.0
9606.ENSP00000384582	0.0
9606.ENSP00000372295	0.0
9606.ENSP00000386331	0.0
9606.ENSP00000305941	0.0
9606.ENSP00000415090	0.0
9606.ENSP00000424565	0.0
9606.ENSP00000410083	0.0
9606.ENSP00000494684	0.0
9606.ENSP00000363068	0.0
9606.ENSP00000265965	0.0
9606.ENSP00000354623	0.0
9606.ENSP00000252597	0.0
9606.ENSP00000382670	0.0
9606.ENSP00000496593	0.0
9606.ENSP00000258930	0.0
9606.ENSP00000329158	0.0
9606.ENSP00000498322	0.0
9606.ENSP00000480489	0.0
9606.ENSP00000390394	0.0
9606.ENSP00000224721	0.0
9606.ENSP00000380676	0.0
9606.ENSP00000351732	0.0
9606.ENSP00000480279	0.0
9606.ENSP00000308772	0.0
9606.ENSP00000494321	0.0
9606.ENSP00000005257	0.0
9606.ENSP00000262879	0.0
9606.ENSP00000420213	0.0
9606.ENSP00000394560	0.0
9606.ENSP00000484855	0.0
9606.ENSP00000400175	0.0
9606.ENSP00000342793	0.0
9606.ENSP00000377075	0.0
9606.ENSP00000355605	0.0
9606.ENSP00000274376	0.0
9606.ENSP00000372924	0.0
9606.ENSP00000368824	0.0
9606.ENSP00000290691	0.0
9606.ENSP00000356231	0.0
9606.ENSP00000256366	0.0
9606.ENSP00000298316	0.0
9606.ENSP00000202677	0.0
9606.ENSP00000489442	0.0
9606.ENSP00000351255	0.0
9606.ENSP00000425587	0.0
9606.ENSP00000378974	0.0
9606.ENSP00000311344	0.0
9606.ENSP00000291295	0.0
9606.ENSP00000249071	0.0
9606.ENSP00000272519	0.0
9606.ENSP00000256078	0.0
9606.ENSP00000349824	0.0
9606.ENSP00000304283	0.0
9606.ENSP00000369689	0.0
9606.ENSP00000420211	0.0
9606.ENSP00000315299	0.0
9606.ENSP00000304643	0.0
9606.ENSP00000300935	0.0
9606.ENSP00000407586	0.0
9606.ENSP00000370695	0.0
9606.ENSP00000253861	0.0
9606.ENSP00000356607	0.0
9606.ENSP00000497444	0.0
9606.ENSP00000419081	0.0
9606.ENSP00000430344	0.0
9606.ENSP00000499717	0.0
9606.ENSP00000401888	0.0
9606.ENSP00000228251	0.0
9606.ENSP00000327145	0.0
9606.ENSP00000362680	0.0
9606.ENSP00000260762	0.0
9606.ENSP00000334100	0.0
9606.ENSP00000361120	0.0
9606.ENSP00000230449	0.0
9606.ENSP00000263088	0.0
9606.ENSP00000303192	0.0
9606.ENSP00000005260	0.0
9606.ENSP00000223023	0.0
9606.ENSP00000365891	0.0
9606.ENSP00000239891	0.0
9606.ENSP00000494689	0.0
9606.ENSP00000483313	0.0
9606.ENSP00000380793	0.0
9606.ENSP00000497733	0.0
9606.ENSP00000316338	0.0
9606.ENSP00000333813	0.0
9606.ENSP00000005284	0.0
9606.ENSP00000320025	0.0
9606.ENSP00000282499	0.0
9606.ENSP00000454468	0.0
9606.ENSP00000371180	0.0
9606.ENSP00000375647	0.0
9606.ENSP00000349320	0.0
9606.ENSP00000365441	0.0
9606.ENSP00000360608	0.0
9606.ENSP00000390423	0.0
9606.ENSP00000352608	0.0
9606.ENSP00000355192	0.0
9606.ENSP00000226021	0.0
9606.ENSP00000282611	0.0
9606.ENSP00000288139	0.0
9606.ENSP00000371037	0.0
9606.ENSP00000309052	0.0
9606.ENSP00000481554	0.0
9606.ENSP00000264833	0.0
9606.ENSP00000310003	0.0
9606.ENSP00000428994	0.0
9606.ENSP00000266376	0.0
9606.ENSP00000438949	0.0
9606.ENSP00000355492	0.0
9606.ENSP00000381247	0.0
9606.ENSP00000365503	0.0
9606.ENSP00000347754	0.0
9606.ENSP00000293190	0.0
9606.ENSP00000436836	0.0
9606.ENSP00000379098	0.0
9606.ENSP00000454014	0.0
9606.ENSP00000390084	0.0
9606.ENSP00000491717	0.0
9606.ENSP00000432459	0.0
9606.ENSP00000355155	0.0
9606.ENSP00000270458	0.0
9606.ENSP00000262138	0.0
9606.ENSP00000234389	0.0
9606.ENSP00000256343	0.0
9606.ENSP00000383003	0.0
9606.ENSP00000500386	0.0
9606.ENSP00000489829	0.0
9606.ENSP00000329200	0.0
9606.ENSP00000372169	0.0
9606.ENSP00000377840	0.0
9606.ENSP00000272133	0.0
9606.ENSP00000296526	0.0
9606.ENSP00000263269	0.0
9606.ENSP00000252729	0.0
9606.ENSP00000386962	0.0
9606.ENSP00000334198	0.0
9606.ENSP00000301050	0.0
9606.ENSP00000332549	0.0
9606.ENSP00000477455	0.0
9606.ENSP00000300105	0.0
9606.ENSP00000005286	0.0
9606.ENSP00000324173	0.0
9606.ENSP00000005340	0.0
9606.ENSP00000378248	0.0
9606.ENSP00000286548	0.0
9606.ENSP00000360060	0.0
9606.ENSP00000352069	0.0
9606.ENSP00000263388	0.0
9606.ENSP00000284523	0.0
9606.ENSP00000347672	0.0
9606.ENSP00000403362	0.0
9606.ENSP00000316054	0.0
9606.ENSP00000356230	0.0
9606.ENSP00000240093	0.0
9606.ENSP00000337439	0.0
9606.ENSP00000343129	0.0
9606.ENSP00000354607	0.0
9606.ENSP00000457230	0.0
9606.ENSP00000360058	0.0
9606.ENSP00000473553	0.0
